3615	821,875286410927	156,822214915181	1	1178,12471358907	156,822214915181
3652	767,671633229672	553,373266404123	0			1232,32836677033	553,373266404123
3786	730,861903317152	475,428707683813	0			1269,13809668285	475,428707683813
3829	530,027212988597	424,584058305927	0			1469,9727870114	424,584058305927
3851	584,189836911869	434,574527765927	0			1415,81016308813	434,574527765927
3871	635,921011378438	464,153302395842	0			1364,07898862156	464,153302395842
3919	743,529033301726	505,996071611819	0			1256,47096669827	505,996071611819
3966	747,269338277688	496,591213428138	0			1252,73066172231	496,591213428138
4017	751,32117410308	496,369342354423	0			1248,67882589692	496,369342354423
4054	763,881350026547	507,776183282556	0			1236,11864997345	507,776183282556
4152	766,770744940995	519,281920795594	0			1233,229255059	519,281920795594
4174	755,966280347707	534,863487789285	0			1244,03371965229	534,863487789285
4226	724,044935686315	561,239724236689	0			1275,95506431368	561,239724236689
4240	726,753065822248	564,038668940744	0			1273,24693417775	564,038668940744
4262	726,486919664172	561,857615865424	0			1273,51308033583	561,857615865424
4281	788,667097987974	510,132528573953	0			1211,33290201203	510,132528573953
4311	785,328182304439	521,544785630987	0			1214,67181769556	521,544785630987
4325	741,497612398908	570,96242898451	0			1258,50238760109	570,96242898451
4369	773,167211938538	629,68637766376	0			1226,83278806146	629,68637766376
4421	756,812476780955	570,05674653094	0			1243,18752321904	570,05674653094
4459	750,787458219242	515,066302841299	0			1249,21254178076	515,066302841299
4503	758,063257930449	524,466262146135	0			1241,93674206955	524,466262146135
4555	760,249714438959	525,45339892097	0			1239,75028556104	525,45339892097
4599	759,70792801249	523,864347475637	0			1240,29207198751	523,864347475637
4691	643,642566273513	558,433842176987	0			1356,35743372649	558,433842176987
4730	669,898055980892	545,469764329619	0			1330,10194401911	545,469764329619
4776	690,412302452117	501,889339477264	0			1309,58769754788	501,889339477264
4819	708,119272741026	482,03264792411	0			1291,88072725897	482,03264792411
4866	709,256464027519	490,42006877173	0			1290,74353597248	490,42006877173
4907	700,545175085766	546,410180589968	0			1299,45482491423	546,410180589968
4962	724,789261646549	531,279001572871	0			1275,21073835345	531,279001572871
4999	836,79689862613	510,748254836935	0			1163,20310137387	510,748254836935
5046	883,843183994026	561,228947939662	0			1116,15681600597	561,228947939662
5157	830,029010464073	604,335990191616	0			1169,97098953593	604,335990191616
5188	849,487210863231	586,214070162236	0			1150,51278913677	586,214070162236
5227	862,899346016208	594,773333719019	0			1137,10065398379	594,773333719019
5265	849,071275740911	544,616120112702	0			1150,92872425909	544,616120112702
5632	750,907848568024	365,869105587933	0			1249,09215143198	365,869105587933
5676	688,070293537621	323,126118970481	1	1311,92970646238	323,126118970481
5721	689,645674468868	363,407620131384	0			1310,35432553113	363,407620131384
5764	669,002332682874	363,899176789697	0			1330,99766731713	363,899176789697
5794	695,427962375751	382,99438243059	0			1304,57203762425	382,99438243059
5809	722,702924943557	427,996352515097	0			1277,29707505644	427,996352515097
5857	736,820421405318	440,112015969082	0			1263,17957859468	440,112015969082
5885	729,951356255698	440,133068416056	0			1270,0486437443	440,133068416056
5901	732,581159126691	530,654185222357	0			1267,41884087331	530,654185222357
5927	737,888069843678	534,077501168873	0			1262,11193015632	534,077501168873
5946	733,738295643849	527,849343831563	0			1266,26170435615	527,849343831563
6040	714,673984260675	503,366497247529	0			1285,32601573932	503,366497247529
6081	717,675494839073	502,308343517446	0			1282,32450516093	502,308343517446
6127	711,734268726667	508,417059585915	0			1288,26573127333	508,417059585915
6173	666,833223323067	469,416718112448	0			1333,16677667693	469,416718112448
6229	611,059694860682	452,12546305117	0			1388,94030513932	452,12546305117
6263	639,788170558997	477,603263812209	0			1360,211829441	477,603263812209
6307	650,195464467335	493,389995225732	0			1349,80453553267	493,389995225732
6351	656,273394111519	501,531237955584	0			1343,72660588848	501,531237955584
6398	656,943326586042	519,733307969285	0			1343,05667341396	519,733307969285
6499	619,762847801628	494,135874885774	0			1380,23715219837	494,135874885774
6534	619,75273453302	491,990221464902	0			1380,24726546698	491,990221464902
6571	619,75273453302	491,990221464902	0			1380,24726546698	491,990221464902
6621	588,25130524373	467,797496597092	0			1411,74869475627	467,797496597092
6661	522,61977963669	416,612444084282	0			1477,38022036331	416,612444084282
6710	582,644841663223	451,902576074105	0			1417,35515833678	451,902576074105
6758	628,738080451917	475,993258733814	0			1371,26191954808	475,993258733814
6801	601,059569357725	481,346832428314	0			1398,94043064227	481,346832428314
6846	650,008329674642	508,234021205628	0			1349,99167032536	508,234021205628
6942	605,141392186236	533,237543836357	0			1394,85860781376	533,237543836357
6980	670,884373735841	475,862032675593	0			1329,11562626416	475,862032675593
7025	639,326712372204	463,660299346856	0			1360,6732876278	463,660299346856
7066	652,384828913641	475,058295544796	0			1347,61517108636	475,058295544796
7115	655,852226182244	488,041765356734	0			1344,14777381776	488,041765356734
7160	752,049743764678	512,362105624184	0			1247,95025623532	512,362105624184
7202	806,529765743375	545,896087772969	0			1193,47023425663	545,896087772969
7250	796,090949725788	552,259050203583	0			1203,90905027421	552,259050203583
7300	812,23712420059	586,836131650742	0			1187,76287579941	586,836131650742
7421	778,579951412855	595,56563752941	0			1221,42004858714	595,56563752941
7435	743,002941538987	581,430857983929	0			1256,99705846101	581,430857983929
7480	801,00398411137	528,224897819886	0			1198,99601588863	528,224897819886
9302	575,881296299808	460,322506511937	0			1424,11870370019	460,322506511937
