173	485,644155952923	152,987493921724	1	1514,35584404708	152,987493921724
224	890,009502917046	833,804340680089	0			1109,99049708295	833,804340680089
269	784,992188414827	852,780060642234	0			1215,00781158517	852,780060642234
297	700,107372547757	898,947760009345	0			1299,89262745224	898,947760009345
325	728,488628134692	870,709278460797	0			1271,51137186531	870,709278460797
339	764,841047715801	866,333834579834	0			1235,1589522842	866,333834579834
354	836,285589437424	847,848155387247	0			1163,71441056258	847,848155387247
392	816,033865177912	846,090818162335	0			1183,96613482209	846,090818162335
423	794,67818728173	849,258472919606	0			1205,32181271827	849,258472919606
433	797,805044994661	868,553974379383	0			1202,19495500534	868,553974379383
480	775,570065908405	885,234908937418	0			1224,42993409159	885,234908937418
505	822,520453073059	849,864782877738	0			1177,47954692694	849,864782877738
525	826,243089843325	839,803345715632	0			1173,75691015667	839,803345715632
545	827,947988535842	836,401883260116	0			1172,05201146416	836,401883260116
552	822,172840129043	826,701293327253	0			1177,82715987096	826,701293327253
580	821,319279746403	827,859025673601	0			1178,6807202536	827,859025673601
599	819,888385132524	829,741648231285	0			1180,11161486748	829,741648231285
611	798,371166975152	838,949480243534	0			1201,62883302485	838,949480243534
629	780,08168810982	847,134086333236	0			1219,91831189018	847,134086333236
639	758,694082141096	854,964465595338	0			1241,3059178589	854,964465595338
677	755,285444266661	855,06232321825	0			1244,71455573334	855,06232321825
735	766,816289009029	856,291842375539	0			1233,18371099097	856,291842375539
769	766,230287204206	864,55760615471	0			1233,76971279579	864,55760615471
772	787,785131151783	888,945803073322	0			1212,21486884822	888,945803073322
774	783,437513141408	875,218043190518	0			1216,56248685859	875,218043190518
790	792,460120209814	883,513355376731	0			1207,53987979019	883,513355376731
793	830,856611980415	876,489561273616	0			1169,14338801958	876,489561273616
805	856,995123414298	868,836242709876	0			1143,0048765857	868,836242709876
815	822,041089733987	882,385383844733	0			1177,95891026601	882,385383844733
818	813,790902572143	884,555017364827	0			1186,20909742786	884,555017364827
842	876,488582456418	862,783334391149	0			1123,51141754358	862,783334391149
851	848,793426739101	868,789196218817	0			1151,2065732609	868,789196218817
890	924,76102908839	852,684502827024	0			1075,23897091161	852,684502827024
985	995,529461215615	869,966631805509	0			1004,47053878439	869,966631805509
1108	771,649503244937	855,371340573209	0			1228,35049675506	855,371340573209
1134	733,178804761769	923,309814026557	0			1266,82119523823	923,309814026557
1155	748,661113548896	888,660565395938	0			1251,3388864511	888,660565395938
1198	739,402648238441	901,775164600326	0			1260,59735176156	901,775164600326
1211	735,999676108111	914,040251543126	0			1264,00032389189	914,040251543126
1238	739,275577165345	890,532536738326	0			1260,72442283466	890,532536738326
1291	744,84430647759	858,745854559138	0			1255,15569352241	858,745854559138
1329	752,470778184415	847,818985960382	0			1247,52922181558	847,818985960382
1345	741,369328389178	891,259727838754	0			1258,63067161082	891,259727838754
1363	755,762468614965	889,019092368737	0			1244,23753138503	889,019092368737
1379	768,946842579149	880,853260223826	0			1231,05315742085	880,853260223826
1394	767,690082853281	880,698368090649	0			1232,30991714672	880,698368090649
1412	768,934578674932	883,736044412455	0			1231,06542132507	883,736044412455
1433	772,213365028268	886,507156966871	0			1227,78663497173	886,507156966871
1439	775,203768958474	886,978206499585	0			1224,79623104153	886,978206499585
1465	778,264084205025	888,980797179821	0			1221,73591579497	888,980797179821
1514	838,151874362213	864,41227198729	0			1161,84812563779	864,41227198729
1530	807,206774304256	963,641857717738	0			1192,79322569574	963,641857717738
1859	1054,48302235032	672,267972207358	0			945,516977649676	672,267972207358
1871	1054,48302235032	672,267972207358	0			945,516977649676	672,267972207358
1959	902,771568915605	774,71275162825	0			1097,2284310844	774,71275162825
2036	908,074477112409	749,184448245337	0			1091,92552288759	749,184448245337
2057	899,713966910028	761,572061587839	0			1100,28603308997	761,572061587839
2166	799,940251011346	844,047375280787	0			1200,05974898865	844,047375280787
2170	782,572084458074	865,420169996721	0			1217,42791554193	865,420169996721
2176	783,857631991982	867,901545541995	0			1216,14236800802	867,901545541995
2201	760,195533434553	911,149309693484	0			1239,80446656545	911,149309693484
2224	758,825397182823	913,653539372287	0			1241,17460281718	913,653539372287
2239	753,545653664429	927,315356613262	0			1246,45434633557	927,315356613262
2248	760,577026145258	918,137831765169	0			1239,42297385474	918,137831765169
2277	716,361571244082	925,646607858129	0			1283,63842875592	925,646607858129
2331	724,272630054047	929,513695866722	0			1275,72736994595	929,513695866722
2346	875,556691585485	881,366204317897	0			1124,44330841451	881,366204317897
2427	835,490079881398	895,176978830599	0			1164,5099201186	895,176978830599
2503	787,342357944131	913,817690658363	0			1212,65764205587	913,817690658363
2555	709,584524407742	922,218155721739	0			1290,41547559226	922,218155721739
2873	718,383695238231	1020,5804445988	0			1281,61630476177	1020,5804445988
2947	712,212947117086	876,542601332081	0			1287,78705288291	876,542601332081
2995	792,586708068848	847,124130538997	0			1207,41329193115	847,124130538997
3036	759,347452026075	847,122080655162	0			1240,65254797393	847,122080655162
3054	744,749070448397	847,121180364662	0			1255,2509295516	847,121180364662
3082	677,420007886183	952,448436682777	0			1322,57999211382	952,448436682777
3128	828,329527425948	973,67584325847	0			1171,67047257405	973,67584325847
3162	750,550340802513	944,642286210978	0			1249,44965919749	944,642286210978
3196	906,655413059889	872,317719027784	0			1093,34458694011	872,317719027784
3234	891,639781204469	864,147690759484	0			1108,36021879553	864,147690759484
3330	898,951913778064	862,612447993178	0			1101,04808622194	862,612447993178
3336	898,951913778064	862,612447993178	0			1101,04808622194	862,612447993178
