181	1804,33938233212	869,488127002663	0			195,66061766788	869,488127002663
193	1620,18703226133	653,430870898249	0			379,812967738673	653,430870898249
243	1621,71913776022	666,66018466341	0			378,280862239778	666,66018466341
265	1569,63362432375	654,582922146356	0			430,366375676247	654,582922146356
286	1541,38281992277	655,490217941128	0			458,617180077225	655,490217941128
310	1530,5864578199	643,913733270466	0			469,413542180101	643,913733270466
330	1537,49711810261	646,589387117207	0			462,502881897389	646,589387117207
1162	1259,55411546824	933,896708661435	1	740,445884531756	933,896708661435
1169	1241,0978348124	934,788703904267	1	758,902165187601	934,788703904267
1170	1241,0978348124	934,788703904267	1	758,902165187601	934,788703904267
1185	1243,87167301352	936,590016014257	1	756,128326986478	936,590016014257
1199	1273,24689336798	937,743493372881	1	726,753106632022	937,743493372881
1217	1260,7778879073	933,761548692973	1	739,222112092701	933,761548692973
1231	1288,44013269209	931,811836336495	1	711,559867307913	931,811836336495
1246	1298,50214560594	942,733596803783	1	701,497854394058	942,733596803783
1267	1304,47797854599	946,893922915006	1	695,522021454013	946,893922915006
1297	1314,58997612689	965,067425496867	0			685,410023873111	965,067425496867
1305	1310,25798739368	953,083961858712	1	689,74201260632	953,083961858712
1325	1316,86814542283	780,705295140329	1	683,131854577171	780,705295140329
1494	1321,10425831816	613,15005937949	1	678,895741681837	613,15005937949
1736	1075,50706585634	178,018176212416	1	924,492934143659	178,018176212416
1756	1191,62767527559	487,431315263001	1	808,372324724413	487,431315263001
1773	1230,35261605474	440,023137424808	1	769,647383945255	440,023137424808
1785	1257,72660080786	405,690672508268	1	742,273399192138	405,690672508268
1803	1343,88538323839	287,53689839703	1	656,114616761614	287,53689839703
1843	1305,3817269761	330,223914888095	1	694,618273023905	330,223914888095
1916	1287,51002544612	342,426824654908	1	712,489974553879	342,426824654908
1936	1290,38563947462	344,003835687182	1	709,614360525384	344,003835687182
1943	1308,68869902172	351,935157060327	1	691,311300978281	351,935157060327
1958	1361,89685329428	397,770732489789	1	638,103146705724	397,770732489789
