55	1332,87635213683	976,035667499034	0			667,123647863175	976,035667499034
84	1323,9140466423	982,429020640373	0			676,0859533577	982,429020640373
86	1319,50999651136	969,361670482773	0			680,490003488636	969,361670482773
88	1305,03419286898	858,272705088768	1	694,965807131025	858,272705088768
90	1274,96669769868	645,837878238665	1	725,033302301316	645,837878238665
106	1280,93528614563	674,972810795375	1	719,064713854371	674,972810795375
121	1273,07515704319	654,550565355452	1	726,924842956813	654,550565355452
137	1273,75950533355	657,45590617502	1	726,240494666451	657,45590617502
150	1304,53250955491	715,397745068973	1	695,467490445094	715,397745068973
182	1298,5642515593	702,959964598785	1	701,435748440704	702,959964598785
191	1313,6188582404	712,550386902186	1	686,381141759601	712,550386902186
216	1285,99061513715	699,95137940297	1	714,009384862849	699,95137940297
233	1263,92086624751	692,854779439154	1	736,079133752487	692,854779439154
234	1246,30912971255	708,355492004975	1	753,690870287453	708,355492004975
250	1189,12055957998	699,85506641337	1	810,879440420017	699,85506641337
268	1170,93729321909	740,866002095448	1	829,062706780907	740,866002095448
279	1170,71348303745	743,841828024478	1	829,286516962553	743,841828024478
314	1154,18790952721	704,711500231236	1	845,812090472793	704,711500231236
337	1149,76695125545	798,254089941767	1	850,233048744546	798,254089941767
340	1148,91314306989	882,613737360567	1	851,086856930113	882,613737360567
354	1142,73370613716	877,995664188389	1	857,26629386284	877,995664188389
374	1141,27653460373	874,641698086588	1	858,723465396268	874,641698086588
391	1144,47422846162	787,686498279658	1	855,525771538376	787,686498279658
413	1147,65014560368	788,07620211737	1	852,349854396321	788,07620211737
414	1149,90474847045	765,122064930811	1	850,095251529547	765,122064930811
433	1151,20060557645	728,785216686208	1	848,799394423549	728,785216686208
453	1153,00140889505	746,140287643102	1	846,998591104948	746,140287643102
485	1154,73905697552	737,586299624454	1	845,260943024484	737,586299624454
514	1155,93408735974	760,87142309042	1	844,065912640257	760,87142309042
520	1159,7367645701	774,560304848788	1	840,263235429905	774,560304848788
550	1156,04282709287	805,842862464964	1	843,957172907128	805,842862464964
559	1165,19391027599	808,992856285895	1	834,80608972401	808,992856285895
576	1153,29919528464	837,247625097746	1	846,700804715363	837,247625097746
585	1157,99675085358	835,081422375912	1	842,003249146421	835,081422375912
599	1141,85747616045	833,669962878656	1	858,142523839547	833,669962878656
612	1096,22628288626	814,362140257352	1	903,773717113741	814,362140257352
633	1077,66933320442	815,424384448199	1	922,330666795576	815,424384448199
647	1069,8875402384	824,615936376906	1	930,112459761595	824,615936376906
662	1072,52748570207	812,092253873041	1	927,472514297932	812,092253873041
678	1057,02502094191	804,330807462201	1	942,974979058088	804,330807462201
683	1030,93774579374	818,617337608318	1	969,062254206257	818,617337608318
703	1007,45871824422	828,907946524215	1	992,541281755781	828,907946524215
721	1000,03240407804	835,893315076102	1	999,967595921957	835,893315076102
729	998,713557723554	836,493228658776	1	1001,28644227645	836,493228658776
745	998,066820177313	838,908014636806	1	1001,93317982269	838,908014636806
779	1003,25852620997	841,546891828941	1	996,741473790033	841,546891828941
792	1002,14781618238	841,725492225849	1	997,852183817615	841,725492225849
821	991,982609677343	845,602018288913	1	1008,01739032266	845,602018288913
824	987,660167803525	846,216912311499	1	1012,33983219648	846,216912311499
841	984,003313066759	847,391367391798	1	1015,99668693324	847,391367391798
860	980,793540288561	848,261486617122	1	1019,20645971144	848,261486617122
864	980,30420807516	846,474478723453	1	1019,69579192484	846,474478723453
886	980,698946234198	845,464902860858	1	1019,3010537658	845,464902860858
898	982,534251456808	843,0652509514	1	1017,46574854319	843,0652509514
925	984,13537544644	841,667512917005	1	1015,86462455356	841,667512917005
948	992,965766624552	837,525084527249	1	1007,03423337545	837,525084527249
955	1001,86535949468	832,493058200703	1	998,134640505316	832,493058200703
969	1022,41257617821	820,197266313273	1	977,587423821789	820,197266313273
994	1025,29397299073	816,73490479914	1	974,706027009273	816,73490479914
1001	1027,65590247686	810,508431621896	1	972,344097523137	810,508431621896
1018	1027,3893348546	805,404893854765	1	972,610665145404	805,404893854765
1064	1025,65840458647	802,828577448545	1	974,341595413533	802,828577448545
1067	987,604292848724	786,180675679527	1	1012,39570715128	786,180675679527
1099	888,26346861848	654,642243675064	1	1111,73653138152	654,642243675064
1117	900,876462951179	688,868465764165	1	1099,12353704882	688,868465764165
1119	885,042875964968	726,359950912955	1	1114,95712403503	726,359950912955
1130	867,920950738477	743,124379601049	1	1132,07904926152	743,124379601049
1139	806,317865821394	776,247468181004	1	1193,68213417861	776,247468181004
1158	793,519726079155	723,317410985993	1	1206,48027392085	723,317410985993
1171	796,497277549465	769,927227231684	1	1203,50272245053	769,927227231684
1179	797,910800088017	782,906089849612	1	1202,08919991198	782,906089849612
1204	790,852429958702	715,533729549718	1	1209,1475700413	715,533729549718
1228	787,947685525794	693,365297668824	1	1212,05231447421	693,365297668824
1243	795,334349422241	653,243529082801	1	1204,66565057776	653,243529082801
1259	789,719667869929	687,372263153471	1	1210,28033213007	687,372263153471
1266	773,323233944953	734,251129804019	1	1226,67676605505	734,251129804019
1290	781,281972551984	688,970518959448	1	1218,71802744802	688,970518959448
1317	767,381852559671	777,854214201261	1	1232,61814744033	777,854214201261
1336	764,097014228652	779,578630239132	1	1235,90298577135	779,578630239132
1353	767,608327798726	711,912877493263	1	1232,39167220127	711,912877493263
1355	767,79489520615	697,622451851263	1	1232,20510479385	697,622451851263
1381	760,262960127975	736,498912806631	1	1239,73703987202	736,498912806631
1397	764,951073433935	719,050266761252	1	1235,04892656607	719,050266761252
1408	763,506754106316	716,562105977375	1	1236,49324589368	716,562105977375
1427	770,432948508893	677,44432473067	1	1229,56705149111	677,44432473067
1443	759,609224286949	721,387475903401	1	1240,39077571305	721,387475903401
1450	756,954833100464	718,995878680999	1	1243,04516689954	718,995878680999
1470	754,603556106253	671,256105072215	1	1245,39644389375	671,256105072215
1501	741,853737744545	714,161864489661	1	1258,14626225546	714,161864489661
1533	726,26986487796	682,914647371977	1	1273,73013512204	682,914647371977
1552	725,242022616597	746,394223660554	1	1274,7579773834	746,394223660554
